anchor_id,anchor_train_loss,optimizer,n_seeds,seed_ids,matched_step,matched_step_std,matched_train_loss,matched_train_loss_std,abs_train_loss_error,abs_train_loss_error_std,test_loss,test_loss_std,test_ece,test_ece_std,test_acc,test_acc_std,param_norm_l2,param_norm_l2_std,generalization_gap,generalization_gap_std
1,73.259931,adafactor,3,"1,2,3",10.000000,0.000000,68.647854,4.753236,4.612077,4.753236,58.023960,8.416644,0.859061,0.066816,0.094442,0.081208,320.016476,0.599412,-10.623894,12.668770
1,73.259931,adamw,3,"1,2,3",10.000000,0.000000,74.293632,1.813730,1.734775,0.615026,16.536187,1.522892,0.711520,0.054601,0.075500,0.024968,317.824240,0.653521,-57.757445,1.575688
1,73.259931,rmsprop,3,"1,2,3",10.000000,0.000000,80.504719,1.812944,7.244788,1.812944,26.494205,0.342344,0.874213,0.035363,0.042989,0.002686,316.396859,0.651722,-54.010513,1.697322
1,73.259931,sgd,3,"1,2,3",10.000000,0.000000,81.837347,1.156565,8.577416,1.156565,15.450441,1.289937,0.588557,0.139150,0.047933,0.031156,316.202153,0.646807,-66.386906,2.186449
2,61.466521,adafactor,3,"1,2,3",13.333333,5.773503,64.569308,8.317701,6.291828,4.923862,53.749418,7.932085,0.846832,0.074561,0.139018,0.077242,320.923158,1.249236,-10.819889,12.565651
2,61.466521,adamw,3,"1,2,3",10.000000,0.000000,74.293632,1.813730,12.827110,1.813730,16.536187,1.522892,0.711520,0.054601,0.075500,0.024968,317.824240,0.653521,-57.757445,1.575688
2,61.466521,rmsprop,3,"1,2,3",10.000000,0.000000,80.504719,1.812944,19.038197,1.812944,26.494205,0.342344,0.874213,0.035363,0.042989,0.002686,316.396859,0.651722,-54.010513,1.697322
2,61.466521,sgd,3,"1,2,3",10.000000,0.000000,81.837347,1.156565,20.370825,1.156565,15.450441,1.289937,0.588557,0.139150,0.047933,0.031156,316.202153,0.646807,-66.386906,2.186449
3,49.673112,adafactor,3,"1,2,3",20.000000,0.000000,53.062393,3.570906,3.475815,3.443874,50.762950,5.633531,0.824231,0.079525,0.083374,0.085872,322.578861,0.643942,-2.299443,5.383099
3,49.673112,adamw,3,"1,2,3",10.000000,0.000000,74.293632,1.813730,24.620520,1.813730,16.536187,1.522892,0.711520,0.054601,0.075500,0.024968,317.824240,0.653521,-57.757445,1.575688
3,49.673112,rmsprop,3,"1,2,3",16.666667,5.773503,40.176948,33.178673,28.706191,0.148037,18.809543,6.602339,0.819537,0.078174,0.050842,0.007538,315.975971,0.575866,-21.367405,26.580766
3,49.673112,sgd,3,"1,2,3",10.000000,0.000000,81.837347,1.156565,32.164235,1.156565,15.450441,1.289937,0.588557,0.139150,0.047933,0.031156,316.202153,0.646807,-66.386906,2.186449
4,37.879703,adafactor,3,"1,2,3",30.000000,0.000000,36.337180,3.824259,3.287764,1.407100,28.460023,7.845383,0.615447,0.152654,0.089071,0.082436,324.787799,0.774072,-7.877158,4.075299
4,37.879703,adamw,3,"1,2,3",20.000000,0.000000,11.227185,0.608787,26.652518,0.608787,7.408162,0.730612,0.414933,0.016458,0.152995,0.039737,317.917329,0.657083,-3.819023,0.726387
4,37.879703,rmsprop,3,"1,2,3",20.000000,0.000000,20.805221,0.391354,17.074481,0.391354,15.149686,0.324628,0.795598,0.038859,0.051615,0.006784,315.765258,0.651707,-5.655536,0.705523
4,37.879703,sgd,3,"1,2,3",20.000000,0.000000,11.060818,0.994340,26.818884,0.994340,7.504126,1.106541,0.270050,0.103064,0.107890,0.060080,313.798095,0.640415,-3.556692,1.209816
5,26.086293,adafactor,3,"1,2,3",40.000000,0.000000,23.435525,4.068201,3.896685,2.076989,17.050369,1.597894,0.643371,0.138957,0.092244,0.080157,326.827301,0.863548,-6.385157,3.569432
5,26.086293,adamw,3,"1,2,3",20.000000,0.000000,11.227185,0.608787,14.859108,0.608787,7.408162,0.730612,0.414933,0.016458,0.152995,0.039737,317.917329,0.657083,-3.819023,0.726387
5,26.086293,rmsprop,3,"1,2,3",20.000000,0.000000,20.805221,0.391354,5.281072,0.391354,15.149686,0.324628,0.795598,0.038859,0.051615,0.006784,315.765258,0.651707,-5.655536,0.705523
5,26.086293,sgd,3,"1,2,3",20.000000,0.000000,11.060818,0.994340,15.025475,0.994340,7.504126,1.106541,0.270050,0.103064,0.107890,0.060080,313.798095,0.640415,-3.556692,1.209816
6,14.292884,adafactor,3,"1,2,3",66.666667,11.547005,14.554031,0.907715,0.753922,0.271374,15.030462,3.767412,0.434314,0.096779,0.103271,0.013985,332.564723,2.392515,0.476431,4.180977
6,14.292884,adamw,3,"1,2,3",20.000000,0.000000,11.227185,0.608787,3.065699,0.608787,7.408162,0.730612,0.414933,0.016458,0.152995,0.039737,317.917329,0.657083,-3.819023,0.726387
6,14.292884,rmsprop,3,"1,2,3",30.000000,0.000000,13.349496,0.315712,0.943388,0.315712,11.254393,0.758120,0.737062,0.053841,0.088643,0.026180,315.260211,0.651907,-2.095103,0.925899
6,14.292884,sgd,3,"1,2,3",20.000000,0.000000,11.060818,0.994340,3.232066,0.994340,7.504126,1.106541,0.270050,0.103064,0.107890,0.060080,313.798095,0.640415,-3.556692,1.209816
7,2.499474,adafactor,3,"1,2,3",570.000000,17.320508,2.497103,0.003017,0.002713,0.002549,2.525910,0.054446,0.060385,0.036189,0.273966,0.021957,764.919859,25.158054,0.028807,0.051596
7,2.499474,adamw,3,"1,2,3",140.000000,17.320508,2.504203,0.002492,0.004729,0.002492,2.506990,0.012463,0.022154,0.004262,0.307109,0.004847,317.566532,0.683570,0.002787,0.010664
7,2.499474,rmsprop,3,"1,2,3",966.666667,20.816660,2.516515,0.015854,0.017041,0.015854,2.623188,0.069305,0.053770,0.012230,0.254110,0.011120,290.329995,0.186338,0.106673,0.082377
7,2.499474,sgd,3,"1,2,3",633.333333,68.068593,2.499458,0.001613,0.001100,0.000887,2.529438,0.009098,0.025235,0.001350,0.300659,0.004546,169.540207,11.521783,0.029979,0.008700
